ID	User Story / Task Description	Priority	Estimation (Hours)	Sprint	Status	Acceptance Criteria (Given-When-Then)	Minh chứng hoàn thành (DoD)
US-001	Là người dùng mới, tôi muốn đăng ký tài khoản bằng email và mật khẩu để truy cập hệ thống an toàn	CAO	8	Sprint 1	CHƯA BẮT ĐẦU	Given email chưa tồn tại và form hợp lệ → When nhấn đăng ký → Then tạo tài khoản, gửi email xác nhận, redirect đến login. Given email đã tồn tại → Then hiển thị lỗi “Email đã được sử dụng”.	Video demo đăng ký (30s) + Ảnh form + Test case pass
US-002	Là người dùng đã có tài khoản, tôi muốn đăng nhập bằng email và mật khẩu để truy cập dashboard	CAO	6	Sprint 1	CHƯA BẮT ĐẦU	Given email và mật khẩu đúng → When nhấn đăng nhập → Then vào dashboard, lưu session. Given sai thông tin → Then hiển thị lỗi “Thông tin đăng nhập không đúng”.	Video demo đăng nhập (30s) + Ảnh dashboard sau login
US-003	Là người dùng, tôi muốn đăng xuất để kết thúc phiên làm việc an toàn	TB	2	Sprint 1	CHƯA BẮT ĐẦU	Given click đăng xuất → When xác nhận → Then xóa session, redirect về login.	Video demo logout + Ảnh trạng thái sau logout
US-004	Là quản trị viên, tôi muốn phân quyền vai trò (PO/SM/Member) để kiểm soát quyền truy cập	CAO	6	Sprint 1	CHƯA BẮT ĐẦU	Given gán role PO → When user login → Then chỉ thấy chức năng quản lý Backlog. Given role Member → Then chỉ thấy cập nhật task của mình.	Ảnh chụp phân quyền + Test case role-based
US-005	Là PO/SM, tôi muốn xem danh sách tất cả User Stories trong Product Backlog để nắm tổng quan	CAO	4	Sprint 1	CHƯA BẮT ĐẦU	Given truy cập Backlog → When load → Then hiển thị danh sách title, mô tả ngắn, priority, points, status.	Ảnh chụp danh sách Backlog
US-006	Là PO/SM, tôi muốn xem chi tiết một User Story để nắm đầy đủ thông tin nhiệm vụ	CAO	3	Sprint 1	CHƯA BẮT ĐẦU	Given click vào User Story → When mở modal → Then hiển thị title, mô tả đầy đủ, points, priority, label, status.	Ảnh chụp modal chi tiết User Story
US-007	Là PO/SM, tôi muốn tìm kiếm User Story theo từ khóa để truy xuất nhanh	CAO	4	Sprint 1	CHƯA BẮT ĐẦU	Given nhập từ khóa → When tìm → Then hiển thị danh sách khớp từ khóa.	Ảnh chụp kết quả tìm kiếm
US-008	Là PO/SM, tôi muốn lọc User Story theo trạng thái, ưu tiên hoặc nhãn	CAO	5	Sprint 1	CHƯA BẮT ĐẦU	Given chọn bộ lọc → When áp dụng → Then hiển thị danh sách khớp bộ lọc.	Ảnh chụp bộ lọc + Test case lọc
US-009	Là PO/SM, tôi muốn sắp xếp backlog theo ưu tiên bằng kéo-thả	CAO	4	Sprint 2	CHƯA BẮT ĐẦU	Given kéo-thả User Story → When thả → Then thứ tự lưu lại và hiển thị theo thứ tự mới.	Video demo drag-drop sắp xếp
US-010	Là PO/SM, tôi muốn tạo mới một User Story với tiêu đề, mô tả, ưu tiên	CAO	6	Sprint 2	CHƯA BẮT ĐẦU	Given nhập form hợp lệ → When tạo → Then User Story mới xuất hiện trong Backlog.	Video demo tạo User Story (20s)
